iteration,bestCost
578,5.73149e+07
579,5.72928e+07
580,5.72685e+07
581,5.72491e+07
582,5.72297e+07
583,5.72051e+07
584,5.7187e+07
585,5.71665e+07
586,5.71362e+07
587,5.71122e+07
588,5.70917e+07
589,5.70677e+07
590,5.70468e+07
591,5.70272e+07
592,5.70044e+07
593,5.69838e+07
594,5.69591e+07
595,5.69397e+07
596,5.69178e+07
597,5.68979e+07
598,5.68776e+07
599,5.68569e+07
600,5.68343e+07
601,5.68135e+07
602,5.67936e+07
603,5.67673e+07
604,5.67465e+07
605,5.67228e+07
606,5.67011e+07
607,5.66776e+07
608,5.66532e+07
609,5.66321e+07
610,5.66089e+07
611,5.65882e+07
612,5.65664e+07
613,5.6546e+07
614,5.65213e+07
615,5.64974e+07
616,5.64805e+07
617,5.6461e+07
618,5.64419e+07
619,5.64219e+07
620,5.63989e+07
621,5.63785e+07
622,5.63558e+07
623,5.63371e+07
624,5.63159e+07
625,5.62898e+07
626,5.62707e+07
627,5.62469e+07
628,5.62269e+07
629,5.62021e+07
630,5.61824e+07
631,5.61606e+07
632,5.61372e+07
633,5.6111e+07
634,5.60892e+07
635,5.60672e+07
636,5.60482e+07
637,5.60264e+07
638,5.60073e+07
639,5.59829e+07
640,5.59642e+07
641,5.59408e+07
642,5.59209e+07
643,5.58945e+07
644,5.58722e+07
645,5.58518e+07
646,5.58317e+07
647,5.58139e+07
648,5.57946e+07
649,5.57732e+07
650,5.57542e+07
651,5.57284e+07
652,5.57078e+07
653,5.56852e+07
654,5.56635e+07
655,5.56366e+07
656,5.56132e+07
657,5.5592e+07
658,5.55707e+07
659,5.55494e+07
660,5.55266e+07
661,5.55073e+07
662,5.5484e+07
663,5.54629e+07
664,5.54384e+07
665,5.54181e+07
666,5.5399e+07
667,5.53733e+07
668,5.5353e+07
669,5.53315e+07
670,5.53113e+07
671,5.52901e+07
672,5.52688e+07
673,5.52485e+07
674,5.52272e+07
675,5.5207e+07
676,5.51878e+07
677,5.51688e+07
678,5.51481e+07
679,5.51221e+07
680,5.5102e+07
681,5.50828e+07
682,5.50639e+07
683,5.50463e+07
684,5.50273e+07
685,5.50067e+07
686,5.49834e+07
687,5.49634e+07
688,5.49445e+07
689,5.49252e+07
690,5.49027e+07
691,5.48807e+07
692,5.486e+07
693,5.4838e+07
694,5.48171e+07
695,5.47944e+07
696,5.47755e+07
697,5.47527e+07
698,5.47316e+07
699,5.47114e+07
700,5.46911e+07
701,5.46705e+07
702,5.46504e+07
703,5.46291e+07
704,5.46069e+07
705,5.45818e+07
706,5.45633e+07
707,5.45421e+07
708,5.4523e+07
709,5.45009e+07
710,5.44797e+07
711,5.44551e+07
712,5.44351e+07
713,5.4416e+07
714,5.43955e+07
715,5.43768e+07
716,5.43537e+07
717,5.43329e+07
718,5.43134e+07
719,5.42922e+07
720,5.42732e+07
721,5.42483e+07
722,5.42285e+07
723,5.42088e+07
724,5.41907e+07
725,5.41704e+07
726,5.41484e+07
727,5.41298e+07
728,5.4109e+07
729,5.40857e+07
730,5.40664e+07
731,5.4045e+07
732,5.40241e+07
733,5.4002e+07
734,5.39814e+07
735,5.39624e+07
736,5.39432e+07
737,5.39247e+07
738,5.3904e+07
739,5.38842e+07
740,5.38616e+07
741,5.38408e+07
742,5.38219e+07
743,5.38043e+07
744,5.37858e+07
745,5.37635e+07
746,5.37411e+07
747,5.37215e+07
748,5.36974e+07
749,5.36774e+07
750,5.36585e+07
751,5.36336e+07
752,5.36127e+07
753,5.35943e+07
754,5.35743e+07
755,5.35563e+07
756,5.35358e+07
757,5.35152e+07
758,5.34957e+07
759,5.34732e+07
760,5.34534e+07
761,5.34343e+07
762,5.34153e+07
763,5.33959e+07
764,5.33754e+07
765,5.3354e+07
766,5.33354e+07
767,5.33163e+07
768,5.32948e+07
769,5.32738e+07
770,5.32538e+07
771,5.32355e+07
772,5.32123e+07
773,5.31916e+07
774,5.3173e+07
775,5.31524e+07
776,5.31327e+07
777,5.31123e+07
778,5.30912e+07
779,5.30725e+07
780,5.3044e+07
781,5.30254e+07
782,5.30061e+07
783,5.29876e+07
784,5.2969e+07
785,5.29509e+07
786,5.2932e+07
787,5.29135e+07
788,5.28911e+07
789,5.28729e+07
790,5.28521e+07
791,5.28308e+07
792,5.28117e+07
793,5.27908e+07
794,5.27653e+07
795,5.27473e+07
796,5.2729e+07
797,5.27084e+07
798,5.2689e+07
799,5.26652e+07
800,5.26464e+07
801,5.26229e+07
802,5.26021e+07
803,5.25818e+07
804,5.25619e+07
805,5.25412e+07
806,5.25198e+07
807,5.25022e+07
808,5.24807e+07
809,5.24609e+07
810,5.24375e+07
811,5.24101e+07
812,5.23904e+07
813,5.23711e+07
814,5.23503e+07
815,5.23286e+07
816,5.2307e+07
817,5.22891e+07
818,5.22712e+07
819,5.22528e+07
820,5.22346e+07
821,5.22122e+07
822,5.21933e+07
823,5.21739e+07
824,5.21556e+07
825,5.21353e+07
826,5.21154e+07
827,5.2096e+07
828,5.20689e+07
829,5.20481e+07
830,5.20284e+07
831,5.20099e+07
832,5.19911e+07
833,5.19731e+07
834,5.19555e+07
835,5.19354e+07
836,5.19126e+07
837,5.18877e+07
838,5.18675e+07
839,5.18481e+07
840,5.1828e+07
841,5.18098e+07
842,5.17892e+07
843,5.1771e+07
844,5.17483e+07
845,5.17287e+07
846,5.171e+07
847,5.16918e+07
848,5.16727e+07
849,5.16542e+07
850,5.1633e+07
851,5.16146e+07
852,5.1595e+07
853,5.15723e+07
854,5.15489e+07
855,5.15268e+07
856,5.15083e+07
857,5.14898e+07
858,5.14719e+07
859,5.14494e+07
860,5.14312e+07
861,5.14114e+07
862,5.13911e+07
863,5.13697e+07
864,5.13519e+07
865,5.1334e+07
866,5.13159e+07
867,5.1296e+07
868,5.12781e+07
869,5.12593e+07
870,5.12401e+07
871,5.12233e+07
872,5.12056e+07
873,5.11862e+07
874,5.11678e+07
875,5.11509e+07
876,5.11313e+07
877,5.11073e+07
878,5.10887e+07
879,5.10696e+07
880,5.10515e+07
881,5.1032e+07
882,5.10132e+07
883,5.09898e+07
